,0
1933,10
1934,2
1935,10
1936,6
1937,12
1938,11
1939,16
1940,14
1941,4
1942,1
1943,1
1944,275
1945,202
1946,0
1947,5
1948,28
1949,30
1950,3
1951,3
1952,6
1953,71
1954,3
1955,6
1956,15
1957,42
1958,7
1959,12
1960,1
1961,6
1962,24
1963,56
1964,29
1965,5
1966,8
1967,12
1968,5
1969,31
1970,45
1971,34
1972,33
1973,3
1974,3
1975,3
1976,5
1977,132
1978,3
1979,9
1980,3
1981,5
1982,113
1983,13
1984,3
1985,15
1986,19
1987,5
1988,12
1989,11
1990,9
1991,15
1992,9
1993,10
1994,1
1995,7
1996,6
1997,14
1998,31
1999,5
2000,6
2001,14
2002,2
2003,4
2004,11
2005,24
2006,15
2007,17
2008,17
2009,1
2010,5
2011,3
2012,7
2013,2
2014,4
2015,15
2016,13
2017,49
2018,3
2019,26
2020,9
2021,6
2022,299
2023,12
2024,16
2025,3
2026,14
2027,1
2028,65
2029,14
2030,58
2031,35
2032,68
2033,9
2034,6
2035,71
2036,4
2037,3
2038,2
2039,21
2040,8
2041,22
2042,40
2043,25
2044,5
2045,67
2046,46
2047,118
2048,3
2049,16
2050,1
2051,9
2052,55
2053,7
2054,6
2055,79
2056,13
2057,30
2058,16
2059,89
2060,48
2061,18
2062,243
2063,0
2064,4
2065,1
2066,28
2067,42
2068,27
2069,7
2070,189
2071,29
2072,55
2073,4
2074,64
2075,42
2076,2
2077,4
2078,13
2079,12
2080,141
2081,2
2082,59
2083,48
2084,179
2085,17
2086,7
2087,10
2088,0
2089,39
2090,45
2091,2
2092,8
2093,25
2094,33
2095,24
2096,14
2097,27
2098,16
2099,3
2100,228
2101,24
2102,10
2103,18
2104,11
2105,4
2106,42
2107,8
2108,6
2109,12
2110,4
2111,29
2112,65
2113,2
2114,1
2115,2
2116,29
2117,14
2118,5
2119,9
2120,68
2121,1
2122,9
2123,4
2124,1
2125,37
2126,48
2127,33
2128,3
2129,15
2130,7
2131,0
2132,102
2133,9
2134,7
2135,23
2136,11
2137,7
2138,11
2139,10
2140,7
2141,17
2142,15
2143,2
2144,22
2145,20
2146,1
2147,3
2148,24
2149,45
2150,18
2151,12
2152,9
2153,24
2154,2
2155,40
2156,14
2157,54
2158,33
2159,4
2160,10
2161,1
2162,0
2163,14
2164,2
2165,7
2166,13
2167,6
2168,3
2169,21
2170,5
2171,12
2172,22
2173,3
2174,15
2175,60
2176,4
2177,8
2178,3
2179,50
2180,777
2181,4
2182,4
2183,3
2184,24
2185,12
2186,6
2187,75
2188,64
2189,14
2190,14
2191,23
2192,18
2193,8
2194,18
2195,2
2196,466
2197,21
2198,4
2199,10
2200,45
2201,26
2202,462
2203,3
2204,9
2205,8
2206,75
2207,13
2208,68
2209,24
2210,11
2211,24
2212,3
2213,27
2214,7
2215,53
2216,51
2217,14
2218,97
2219,20
2220,20
2221,36
2222,1
2223,17
2224,9
2225,9
2226,44
2227,1
2228,4
2229,1
2230,14
2231,29
2232,17
2233,16
2234,16
2235,24
2236,11
2237,19
2238,44
2239,7
2240,3
2241,1
2242,6
2243,7
2244,2
2245,0
2246,2
2247,8
2248,14
2249,16
2250,7
2251,0
2252,5
2253,1
2254,22
2255,46
2256,0
2257,78
2258,8
2259,10
2260,2
2261,32
2262,11
2263,9
2264,32
2265,8
2266,11
2267,298
2268,0
2269,0
2270,12
2271,11
2272,3
2273,19
2274,0
2275,11
2276,3
2277,16
2278,17
2279,7
2280,0
2281,3
2282,15
2283,4
2284,12
2285,0
2286,8
2287,3
2288,1061
2289,20
2290,66
2291,66
2292,10
2293,8
2294,8
2295,20
2296,84
2297,58
2298,21
2299,29
2300,5
2301,12
2302,40
2303,2
2304,11
2305,18
2306,10
2307,38
2308,7
2309,52
2310,3
2311,8
2312,2
2313,2
